ep,rwd,lpf
0,0.04533874161103757,0.04533874161103757
1,0.04577766760081481,0.045382634210015295
2,0.045912223084472,0.045435593097460966
3,0.04536167177638752,0.045428200965353625
4,0.045266358126591834,0.04541201668147745
5,0.04593008181119398,0.0454638231944491
6,0.045713909717710347,0.04548883184677523
7,0.045814509965657634,0.04552139965866347
8,0.04518356041921852,0.04548761573471897
9,0.04523469702778993,0.045462323864026065
10,0.045739961257014274,0.04549008760332488
11,0.045560781096960844,0.04549715695268848
12,0.04553397946809774,0.04550083920422941
13,0.04605812915375793,0.04555656819918226
14,0.04564140332194668,0.04556505171145871
15,0.04559863808366096,0.04556841034867893
16,0.045353242094347476,0.045546893523245785
17,0.04582047173625057,0.04557425134454626
18,0.04606327461350172,0.04562315367144181
19,0.04568489707286041,0.045629328011583675
20,0.04629378725286006,0.045695773935711316
21,0.04539568858983447,0.04566576540112363
22,0.045788997004966525,0.04567808856150792
23,0.04578320844034369,0.0456886005493915
24,0.04563882816166753,0.0456836233106191
25,0.04552455754229712,0.0456677167337869
26,0.045921541235416544,0.04569309918394987
27,0.045590393835628615,0.04568282864911775
28,0.045486058919795805,0.04566315167618555
29,0.045896025908334435,0.04568643909940044
30,0.04544942376629084,0.04566273756608948
31,0.0463959629350418,0.04573606010298472
32,0.04555925183431384,0.04571837927611763
33,0.04578607083665034,0.0457251484321709
34,0.04554100081023567,0.045706733669977385
35,0.04592012523613711,0.04572807282659336
36,0.045551891951326515,0.04571045473906668
37,0.04616642290416646,0.04575605155557666
38,0.04571462565194064,0.045751908965213056
39,0.0451962029470689,0.04569633836339865
40,0.04553630407917666,0.04568033493497645
41,0.0456263618636152,0.04567493762784033
42,0.045840748095859675,0.045691518674642266
43,0.04532335879264924,0.04565470268644296
44,0.04536334565130762,0.04562556698292943
45,0.04496230653895648,0.04555924093853214
46,0.04554789148294045,0.045558105992972976
47,0.045965461654916065,0.04559884155916728
48,0.04532110373801714,0.045571067777052277
49,0.0457053873807185,0.045584499737418904
50,0.045663136722862596,0.04559236343596327
51,0.04574174223274543,0.04560730131564149
